Name,Ticker,"Sub-Sector","Market Cap","% Away From 52W High","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Cost of Goods Sold","Return on Investment","5Y Avg EBITDA Margin","Cash Flow Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
D P Wires Ltd,DPWIRES,"Iron & Steel","748.13952","3.8641265276779357","18.09953127937227","0.8253764076565702","4.849870759681618","21.279679441792787","14.884077800176811","4.979079840499132",,"18.90040613444867","7.403386233339096","0.7272963407902854","3.3586886212345726","37.08926261319532","21.16961195117505","16.6123405958712"
TVS Electronics Ltd,TVSELECT,"Technology Hardware","745.73296523","13.561470215462613","10.155363369521798","4.382117268644424","1.6630189451277082","9.780738689334806","2.4623714115994346","6.002478733592474",,"15.832018927444828","5.049979164044887","8.471127761271152","2.6815390682215097","14.634397528321319","17.316513761467927","8.114571298062728"
Eldeco Housing and Industries Ltd,ELDEHSG,"Real Estate","741.752355","14.45147679324894","18.80307539522655","16.68964806005158","30.18125830832539","19.99761111248592","9.183421264730658","44.55741201564166",,"16.667738615899147","42.44006197385609","12.130932419625285","31.546391752577318","19.54718884999842","17.73565806237674","10.385071332215999"
Visaka Industries Ltd,VISAKAIND,"Cement","735.7365314","55.59461042765088","11.603867467792302","8.84261197779036","6.3260200360414425","13.633275454853742","8.046568411118196","8.780860116829736","983.1500000000001","6.550855209789611","13.093105302236873","1.759657684078944","3.2206303036130715","10.110807704878287","7.128272999953453","4.3228723425709"
Cheviot Co Ltd,CHEVIOT,"Textiles","734.269340625","23.160617506979797","10.41720419779081","8.033866015004259","12.452491476784324","10.472119759861792","26.93093025564795","13.266354407898165",,"14.205830498815738","17.18506352191093","9.371755801882053","9.482683568107806","12.62240036566284","12.846814608515427","11.794437259361667"
Hi-Tech Gears Ltd,HITECHGEAR,"Auto Parts","733.17192","6.271554476944696","7.074130301275103","8.540634856346793","2.1214023644242923","8.336034915650634","2.705927106033425","12.67966971354786",,"3.1623216982191686","12.415392995548896","5.683130473883762","1.9631995650548766","10.161869141896696","-0.3407573408647818","-0.11535403817075345"
Beta Drugs Ltd,BETA,"Pharmaceuticals","728.725282","17.163781624500672","17.99515263671208","15.008066408966341","11.884845286246442","25.049649641076627","13.832207925147227","23.64506078026945",,"23.667434035771215","21.45401434697132","16.05092091007584","13.481370957124678","39.924687729610575","30.854302578440524","18.03522789177411"
Sandesh Ltd,SANDESH,"Publishing","728.1783002","37.99582463465554","9.760279737594951","5.424168707103798","22.235305044842328","10.190014633566935","9.252361374309256","36.21526246140274",,"9.467318714834091","31.6597996535454","6.250175016101482","26.316199174861826","14.008193887066861","9.767024602419461","9.08020238883525"
Arihant Superstructures Ltd,ARIHANTSUP,"Real Estate","727.914440835","46.61760543447495","8.660236607774326","7.086072025876318","7.01644065344019","10.723783684170957","2.29453415245561","20.378832359022805",,"12.419367683363859","20.743371250409286","6.249248165523879","10.895259489954825","20.569979662449494","22.577122577122573","5.358785946632453"
Marine Electricals (India) Ltd,MARINE,"Electrical Components & Equipments","727.42173375","5.531914893617018","9.97007425179434","3.3498563755326156","3.309403138644663","8.623787323302526","3.249497719799615","9.631633063614817",,"9.28005132670364","9.920076636636807","12.348496773178026","3.797666413339886","18.48078547297296","7.377911772234714","3.4283146542609466"
