Count: 0	Distance: 0.20ft	Time: 9.88sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.91sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.94sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.97sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.01sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.04sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.07sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.10sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.13sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.17sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.20sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.23sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.26sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.30sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.33sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.36sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.39sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.42sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.45sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.49sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.52sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.55sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.58sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.61sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 10.65sec	Speed: 0.20ft/sec 
